name	Einwohner	Einkommen pro Kopf 2019[7]
Heilbronn, Stadt	126458	42275
Starnberg	136610	38509
Miesbach	100183	35599
Hochtaunuskreis	237281	35238
München, Landkreis	349685	32348
München, Stadt	1488202	32039
Olpe	133362	31052
Baden-Baden, Stadt	55449	29731
Main-Taunus-Kreis	239264	29389
Ulm, Stadt	126405	28976
Ebersberg	144091	28878
Memmingen, Stadt	44360	28812
Lörrach	228842	28091
Bad Tölz-Wolfratshausen	128212	27587
Herzogtum Lauenburg	199152	27538
Landsberg am Lech	121019	27421
Lindau (Bodensee)	82085	27411
Schwabach, Stadt	41056	27401
Aichach-Friedberg	135024	27388
Erlangen-Höchstadt	138105	27361
Bodenseekreis	217901	27300
Fürstenfeldbruck	218740	27292
Rheinisch-Bergischer Kreis	283275	27254
Düsseldorf, Stadt	620523	27199
Pfaffenhofen an der Ilm	129128	27159
Bad Dürkheim	133004	27144
Rhein-Pfalz-Kreis	154754	27081
Ludwigsburg	544971	27064
Enzkreis	199752	26978
Tuttlingen	141682	26965
Nürnberger Land	171143	26945
Dachau	155117	26825
Stuttgart, Stadt	630305	26806
Rheingau-Taunus-Kreis	187433	26775
Fürth	118695	26771
Weilheim-Schongau	136134	26734
Coburg	86571	26719
Rosenheim	261721	26661
Esslingen	533617	26660
Harburg	256016	26627
Nordfriesland	167147	26595
Augsburg	255900	26576
Erding	138891	26544
Stormarn	244989	26493
Garmisch-Partenkirchen	88279	26479
Böblingen	392898	26468
Neustadt an der Weinstraße, Stadt	53306	26431
Zollernalbkreis	189862	26337
Mettmann	484322	26333
Rems-Murr-Kreis	427286	26208
Rottweil	140166	26165
Würzburg, Stadt	126954	26159
Unterallgäu	146164	26095
Rhein-Kreis Neuss	452001	26088
Oberallgäu	156308	26031
Konstanz	286876	26021
Traunstein	177485	26000
Mainz-Bingen	211525	25989
Donau-Ries	134324	25963
Aschaffenburg	70858	25957
Heilbronn	346363	25935
Waldshut	171237	25920
Roth	127168	25910
Landshut, Stadt	73065	25882
Rhein-Neckar-Kreis	548233	25860
Coburg, Stadt	40842	25860
Erlangen, Stadt	112385	25815
Hamburg, Stadt	1852478	25808
Hohenlohekreis	112765	25785
Schwarzwald-Baar-Kreis	212872	25758
Breisgau-Hochschwarzwald	264867	25735
Aschaffenburg, Stadt	174658	25733
Reutlingen	287497	25703
Freudenstadt	118364	25660
Wiesbaden, Stadt	278609	25645
Dillingen an der Donau	97172	25638
Bergstraße	271015	25607
Gütersloh	364818	25606
Darmstadt-Dieburg	297701	25578
Dingolfing-Landau	97244	25558
Märkischer Kreis	408662	25545
Forchheim	116600	25526
Hochsauerlandkreis	259030	25497
Neu-Ulm	175823	25494
Offenbach	356542	25489
Neumarkt in der Oberpfalz	135225	25480
Pinneberg	317085	25433
Freising	180313	25426
Regensburg	194275	25420
Eichstätt	133169	25403
Günzburg	127342	25328
Landshut	161191	25320
Ostalbkreis	314294	25318
Ostallgäu	141907	25252
Karlsruhe	446852	25221
Biberach	202250	25221
Wolfsburg, Stadt	123840	25206
Speyer, Stadt	50741	25203
Wetteraukreis	310353	25182
Main-Kinzig-Kreis	421689	25180
Ennepe-Ruhr-Kreis	323130	25151
Neuburg-Schrobenhausen	97730	25109
Coesfeld	220712	25107
Ravensburg	285888	25068
Westerwaldkreis	202830	25067
Straubing, Stadt	47612	25067
Ansbach	185316	25044
Würzburg	162697	25039
Göppingen	258781	24994
Main-Spessart	125976	24957
Südliche Weinstraße	110783	24911
Fürth, Stadt	128223	24847
Rhein-Sieg-Kreis	600375	24828
Mühldorf am Inn	116483	24823
Siegen-Wittgenstein	275491	24800
Deggendorf	119479	24783
Calw	160149	24759
Kitzingen	91696	24751
Ingolstadt, Stadt	136952	24732
Straubing-Bogen	101745	24709
Kulmbach	71428	24694
Alb-Donau-Kreis	198204	24679
Schwäbisch Hall	197860	24615
Rastatt	232091	24613
Warendorf	277417	24607
Kelheim	123390	24601
Diepholz	218072	24555
Verden	137574	24552
Miltenberg	128743	24543
Lahn-Dill-Kreis	253373	24515
Rendsburg-Eckernförde	274765	24471
Gifhorn	177227	24467
Rottal-Inn	121800	24431
Emmendingen	166862	24405
Altötting	111654	24399
Tübingen	228471	24396
